FIPS_alt,formatted_add,loc_type,add_type,status
Census Tract 6096.01,"201-295 Hyde Park, San Carlos, CA 94070, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6096.02,"436 Portofino Dr, San Carlos, CA 94070, USA",ROOFTOP,street_address,OK
Census Tract 6096.03,"103 Mesa Verde Way, San Carlos, CA 94070, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6097,"602-620 Glenloch Way, Emerald Hills, CA 94062, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6098,"735 Upland Rd, Redwood City, CA 94062, USA",ROOFTOP,street_address,OK
Census Tract 6099,"112-114 Myrtle St, Redwood City, CA 94062, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 610,"490 Jamestown Ave, San Francisco, CA 94124, USA",ROOFTOP,premise,OK
Census Tract 6100,"149-155 Fulton St, Redwood City, CA 94062, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6101,"250 B St, Redwood City, CA 94063, USA",ROOFTOP,premise,OK
Census Tract 6102.01,"871 Willow St, Redwood City, CA 94063, USA",ROOFTOP,premise,OK
Census Tract 6102.02,"400-470 Middlefield Rd, Redwood City, CA 94063, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6102.03,"601-699 Shasta St, Redwood City, CA 94063, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6103.02,"876 Seaport Blvd, Redwood City, CA 94063, USA",ROOFTOP,street_address,OK
Census Tract 6103.03,"398 Mindanao Dr, Redwood City, CA 94065, USA",ROOFTOP,premise,OK
Census Tract 6103.04,"383-385 Quay Ln, Redwood City, CA 94065, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6104,"15-99 Yarnall Pl, Redwood City, CA 94063, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6105,"2959 Fair Oaks Ave, Redwood City, CA 94063, USA",ROOFTOP,premise,OK
Census Tract 6106.01,"2951 Glendale Ave, Redwood City, CA 94063, USA",ROOFTOP,premise,OK
Census Tract 6106.02,"563 Encina Ave, Menlo Park, CA 94025, USA",ROOFTOP,street_address,OK
Census Tract 6107,"400-408 Northumberland Ave, Redwood City, CA 94061, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6108,"1515-1525 Hudson St, Redwood City, CA 94061, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6109,"947A Fulton St, Redwood City, CA 94061, USA",ROOFTOP,street_address,OK
Census Tract 611,"628 Washington St, San Francisco, CA 94111, USA",ROOFTOP,premise,OK
Census Tract 6110,"1603 Silver Ave, Redwood City, CA 94061, USA",ROOFTOP,premise,OK
Census Tract 6111,"949-955 Stony Hill Rd, Redwood City, CA 94061, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6112,"1707-1711 Maddux Dr, Redwood City, CA 94061, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6113,"1-29 Winston Way, Redwood City, CA 94061, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6114,"230 Atherton Ave, Atherton, CA 94027, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6115,"131-137 Hawthorne Dr, Atherton, CA 94027, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6116,"215 Bay Rd, Menlo Park, CA 94025, USA",ROOFTOP,street_address,OK
Census Tract 6117,"1601 Willow Rd, Menlo Park, CA 94025, USA",ROOFTOP,street_address,OK
Census Tract 6118,"2929 Fordham St, East Palo Alto, CA 94303, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6119,"6 Shorebreeze Ct, East Palo Alto, CA 94303, USA",ROOFTOP,premise,OK
Census Tract 612,"4508 3rd St, San Francisco, CA 94124, USA",ROOFTOP,premise,OK
Census Tract 6120,"2310 Palo Verde Ave, East Palo Alto, CA 94303, USA",ROOFTOP,premise,OK
Census Tract 6121,"1927 Manhattan Ave, Palo Alto, CA 94303, USA",ROOFTOP,street_address,OK
Census Tract 6125,"W 4th St, Menlo Park, CA 94025, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6126,"815 Roble Ave, Menlo Park, CA 94025, USA",ROOFTOP,street_address,OK
Census Tract 6127,"6 Cheryl Pl, Menlo Park, CA 94025, USA",ROOFTOP,street_address,OK
Census Tract 6128,"1775-1785 Holly Ave, Menlo Park, CA 94025, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6129,"2101-2123 Ashton Ave, West Menlo Park, CA 94025, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6130,"2536-2550 Sand Hill Rd, Menlo Park, CA 94025, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6132,"113-115 Brookside Dr, Portola Valley, CA 94028, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6133,"Junipero Serra Fwy, Woodside, CA 94062, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6134,"99 Oakhill Dr, Woodside, CA 94062, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6135.01,"Fifield-Cahill Ridge Trail, Half Moon Bay, CA 94019, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6135.02,"Unnamed Road, Half Moon Bay, CA 94019, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6136,"1157-1199 Elm St, Moss Beach, CA 94038, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6137,"Cypress Ridge Rd, Redwood City, CA 94062, USA",GEOMETRIC_CENTER,route,OK
Census Tract 6138,"8182-9998 Pescadero Creek Rd, Loma Mar, CA 94021, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6139,"710 Coleman Ave, Menlo Park, CA 94025, USA",ROOFTOP,premise,OK
Census Tract 614,"801-899 Arkansas St, San Francisco, CA 94107, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 6140,"3300 Moreland Dr, San Bruno, CA 94066, USA",ROOFTOP,street_address,OK
Census Tract 615,"329 Fremont St, San Francisco, CA 94105, USA",ROOFTOP,street_address,OK
Census Tract 9802,"Lands End Trail, San Francisco, CA 94121, USA",GEOMETRIC_CENTER,route,OK
Census Tract 9803,"1-99 Overlook Dr, San Francisco, CA 94122, USA",RANGE_INTERPOLATED,street_address,OK
Census Tract 9804.01,"San Francisco, CA, USA",APPROXIMATE,locality,OK
Census Tract 9805.01,"61 John F Shelley Dr, San Francisco, CA 94134, USA",ROOFTOP,street_address,OK
Census Tract 9806,"Hussey St, San Francisco, CA 94124, USA",GEOMETRIC_CENTER,route,OK
Census Tract 9809,"1 Rankin St, San Francisco, CA 94124, USA",ROOFTOP,premise,OK
Census Tract 9819,"2505 Middle Harbor Rd, Oakland, CA 94607, USA",ROOFTOP,street_address,OK
Census Tract 9820,"1579 Middle Harbor Rd, Oakland, CA 94607, USA",ROOFTOP,street_address,OK
Census Tract 9832,"101 Broadway, Oakland, CA 94607, USA",ROOFTOP,premise,OK
Census Tract 9843,"101 San Francisco International Airport Tram, San Francisco, CA 94128, USA",ROOFTOP,street_address,OK
Census Tract 9900,"China Cove Trail, Richmond, CA 94806, USA",GEOMETRIC_CENTER,route,OK
