GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
06041120000,Census Tract 1200,5.696684631,0,4.211007667,68.6,4.2,15.1,0,89.3,1.4,4.6,0.8,11.53062785,7.477038472,7.477038472,64,0,50.51792829,21.11553785,8.705343,33.33333333,33.33333333
06075012100,Census Tract 121,2.344010167,0,3.187757907,53.9,4.5,35.3,6.1,57.9,3,28.1,0.7,10.85274874,7.237059026,7.237059026,139,0,52.28501229,22.11302211,27.03497,34.43396226,34.43396226
06041121100,Census Tract 1211,5.615780167,0,4.528172813,60.8,2.6,15.4,2.5,83.6,1.2,4,0,11.72346188,7.496097345,7.496097345,216,0,46.46983312,27.85622593,8.705343,8.474576271,8.474576271
06041121200,Census Tract 1212,5.468587804,0,4.854858845,60.9,4.6,15.1,5.7,84.2,1.4,7,0.4,11.37548932,7.642044403,7.642044403,241,15,46.41638225,27.53128555,8.705343,7.307692308,7.755102041
06075012201,Census Tract 122.01,2.452014297,0,2.769807654,39.9,4.1,41.1,7.5,45.2,10,22.5,0,10.6377047,7.163172391,7.163172391,114,16,49.41510103,29.88302021,27.03497,25,27.94117647
06075012202,Census Tract 122.02,2.60980484,0,2.552908282,42.3,8,38.7,8.2,48,10.9,22.4,1.7,10.30547997,6.909753282,6.909753282,97,43,51.17162761,35.97213426,27.03497,12.61261261,20.58823529
06075012301,Census Tract 123.01,1.883832625,0,3.116991055,23.6,2.2,50,23.2,48.6,11.1,27.3,1.6,9.540291392,6.478509642,6.478509642,340,85,61.58017041,34.15956623,27.03497,2.857142857,3.773584906
06075012302,Census Tract 123.02,2.222293213,0,3.090316173,56.2,4.8,41.3,8.5,49.1,5.1,35.1,0,10.43965923,7.149131599,7.149131599,454,251,48.96474538,27.02853945,27.03497,5.809128631,12.12121212
06041123000,Census Tract 1230,5.145165736,0,5.12347297,80.9,1.9,14.2,3.8,91.3,0,5.2,0,12.04087366,7.743269701,7.743269701,147,0,48.32535885,29.66507177,8.705343,0.675675676,0.675675676
06075012401,Census Tract 124.01,1.955110295,0,2.588655754,21.7,5.9,49.1,11.7,43.1,9.4,27.7,1.5,9.919951279,6.759255271,6.759255271,504,168,67.58241758,42.85714286,27.03497,1.754385965,2.608695652
06075012402,Census Tract 124.02,1.804042279,0,2.087753278,49.8,3.1,35.2,13.7,49.2,7.1,28.8,1.8,10.55406642,6.949856455,6.949856455,185,72,57.36585366,33.2195122,27.03497,13.14553991,19.85815603
06041124100,Census Tract 1241,5.424109012,0,5.028854042,69.1,4.7,14.5,6.4,85.4,0,5.4,0,11.69524702,7.398786275,7.398786275,212,69,44.35146444,19.14225941,8.705343,4.504504505,6.535947712
06041124200,Census Tract 1242,5.092877023,0,5.123275831,71.1,2.8,23.9,3.3,89.9,0.9,2.9,0.5,11.78205143,7.846980982,7.846980982,378,0,33.83356071,14.59754434,8.705343,3.816793893,3.816793893
06075012501,Census Tract 125.01,1.983331833,0,2.991146374,21.3,2.8,49.4,20.9,36.9,13.5,39.8,0.3,9.735187237,6.318968114,6.318968114,356,191,71.66894043,30.78672124,27.03497,1.928374656,4.069767442
06075012502,Census Tract 125.02,2.127552522,0,2.908408618,10.7,6.2,51.6,7.9,30.4,11.3,45.4,1.4,9.386392316,6.021023349,6.021023349,68,32,47.44228158,18.01720235,27.03497,9.333333333,16.27906977
06041125000,Census Tract 1250,5.439348099,0,4.932041462,73.6,4,17,9,75.7,1,16.1,1.9,11.34492093,7.292337176,7.292337176,95,0,46.99738903,32.72410792,8.705343,8.653846154,8.653846154
06075012601,Census Tract 126.01,4.006646552,0,3.866915124,83.6,4.9,16.5,0,86.8,1.7,8.2,0,11.53150185,7.502738211,7.502738211,199,0,28.61586314,14.93001555,27.03497,13.10043668,13.10043668
06075012602,Census Tract 126.02,4.007719417,0,3.925130596,82.9,3.8,15.8,0,82.9,0.5,13,0,11.76562782,7.646831391,7.646831391,121,0,27.94007491,13.8576779,27.03497,22.43589744,22.43589744
06041126100,Census Tract 1261,5.68831766,0,4.274652791,82.4,1.6,11,1.9,90.8,0,2,0,12.00456827,7.709308333,7.709308333,161,0,33.89544688,11.12984823,8.705343,17.01030928,17.01030928
06041126200,Census Tract 1262,5.567355136,0,4.670892579,65.7,1.1,16.5,4.1,88.5,1,5.5,1.5,11.4088752,7.402451521,7.402451521,88,51,50,26.69789227,8.705343,24.13793103,43.07692308
06075012700,Census Tract 127,4.166519872,0,4.034749178,76.3,4.3,17.3,0,84,1,7.7,0.5,11.58700272,7.594884387,7.594884387,201,0,28.70036101,20.2166065,27.03497,16.25,16.25
06041127000,Census Tract 1270,5.749999036,0,3.923156024,76.5,2.5,13.8,0,91.2,0,3.3,0,11.92746924,7.504942068,7.504942068,197,65,41.43646409,22.28360958,8.705343,17.91666667,24.57142857
06075012800,Census Tract 128,3.984035734,0,3.804711126,78.7,3.6,21.5,0,85.6,1.2,7.5,0,11.7421147,7.609862201,7.609862201,242,78,26.13301942,15.65626839,27.03497,15.38461538,21.15384615
06041128100,Census Tract 1281,5.48396752,0,4.837976437,69.4,5.6,15.4,2.9,85.6,2.1,6.4,0,11.84892616,7.754910272,7.754910272,223,0,49.93006993,18.18181818,8.705343,24.40677966,24.40677966
06041128200,Census Tract 1282,5.638286938,0,4.435909951,77.9,4.2,9.3,1,86.5,3.8,6.4,0,11.78189861,7.546974118,7.546974118,172,0,42.70386266,19.527897,8.705343,22.1719457,22.1719457
