GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6075010100,Census Tract 101,,21.6201423,16.7487685,7.342131731,13.59211698,1.3136289,1.438848921,58.56264163,4.7,49.77789391,14.4,52.73,1.75,36.66,8.86,11.234864,1827,159
6041101100,Census Tract 1011,,29.6610169,7.6271186,7.649692624,13.71037224,0,0,58.00661313,4.3,17.2826087,1.1,85.94,0,13.12,0.94,11.89193,118,101
6041101200,Census Tract 1012,,38.8127854,40.1826484,7.486052618,13.27559935,0,0,39.56323007,5.8,17.72823779,15,85.56,0.25,4.71,9.48,11.127101,219,15
6075010200,Census Tract 102,,18.86388,17.2025723,7.649692624,13.81551056,2.19721329,2.851182197,82.53513795,3.1,17.1563981,6.8,86,0.5,8.51,5,11.598883,1866,428
6041102100,Census Tract 1021,,34.8258706,15.4228856,7.649692624,13.41771596,0,0,59.56253505,4.4,11.55712395,3.9,87.91,0,5.12,6.97,11.527114,201,7
6041102202,Census Tract 1022.02,,25.4385965,25,7.527793988,13.27508446,0,0,45.61121324,7.1,19.20115496,6.7,79.85,1.2,4.57,14.37,11.14373,684,78
6041102203,Census Tract 1022.03,,23.4881683,27.7826468,7.305188215,13.11996049,0,0,31.05624143,4.5,30.03597122,7.4,62.93,6.29,5.14,25.64,11.129936,1141,160
6075010300,Census Tract 103,,18.1186869,28.0934343,7.649692624,13.81551056,2.777777778,3.416149068,54.35435435,2.6,33.98527382,17.8,61.14,0,35.83,3.04,11.403624,1584,296
6041103100,Census Tract 1031,,16.3120567,13.4751773,7.5416831,13.40709109,0,0,49.35885523,2.7,6.539509537,6.2,89.97,1.03,3.66,5.35,11.571242,423,135
6041103200,Census Tract 1032,,25.5909558,32.8879753,7.388946098,13.29007878,0,0,41.79038334,2.9,14.11929171,8.3,83.21,0.93,6.07,9.79,11.178445,973,140
