GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6075030600,Census Tract 306,2013,9.9173554,9.9173554,7.649692624,13.72492918,0,0,57.5,5.2,18.2,3.3,63.62,0.58,29.02,6.78,11.771676,121,31
6013306002,Census Tract 3060.02,2013,54.1935484,11.6129032,7.365180126,12.10182262,0,0,17.4,7.5,15.4,11.5,61.77,7.38,6.42,24.43,11.083711,155,30
6013306003,Census Tract 3060.03,2013,35.3448276,40.7635468,7.161622003,12.15055994,0,0,14.2,8.9,10.4,21.8,52.73,20.49,3.35,23.43,10.674452,812,121
6013306004,Census Tract 3060.04,2013,18.6795491,31.0789050,7.129297549,12.22194599,0,0,15.1,9.7,18.3,24,73.94,13.47,2.09,10.50,10.804847,621,141
6075030700,Census Tract 307,2013,23.6238532,7.7981651,7.649692624,13.63722086,0,0,65.1,3.5,20.5,6.4,62.12,0.58,26.23,11.07,11.793553,436,143
6013307101,Census Tract 3071.01,2013,35.7142857,27.0270270,7.070724107,12.22096126,0,0,13.4,5.8,16.9,11.4,70.13,6.20,2.57,21.09,11.089378,518,107
6013307102,Census Tract 3071.02,2013,25.6926952,42.4433249,7.097548851,11.8920466,0,0,4.9,11.1,21.5,20.7,77.33,5.03,1.74,15.91,10.725731,794,302
6013307201,Census Tract 3072.01,2013,22.9090909,48.0000000,6.880384082,12.09402314,0,0,10,9.9,17.8,21.4,53.51,17.28,8.31,20.89,10.439016,550,100
6013307202,Census Tract 3072.02,2013,35.1024209,37.1508380,6.915723449,11.37481216,0,0,8.5,14.1,22.5,29.5,26.93,35.83,7.72,29.51,10.331725,1074,319
6013307204,Census Tract 3072.04,2013,26.9461078,37.1257485,7.404279118,12.14206732,0,0,11,4.6,18.2,15,62.32,11.58,5.29,20.81,10.872409,334,76
6013307205,Census Tract 3072.05,2013,28.0098280,27.6003276,7.100851909,11.99040111,0,0,17,5.2,22.1,16.5,53.06,17.97,11.52,17.45,10.911993,1221,392
6075030800,Census Tract 308,2013,14.9855908,18.7319885,7.347943823,13.81551056,0,0,71.4,4.8,27.9,3.2,56.68,1.16,33.82,8.33,11.790837,347,207
6013308001,Census Tract 3080.01,2013,32.6732673,29.8267327,7.25629724,12.2346601,0,0,12.7,14.6,14.2,11.8,65.38,12.40,7.03,15.19,10.998477,808,227
6013308002,Census Tract 3080.02,2013,32.5443787,21.3017751,7.649692624,12.44232984,0,0,28,7,16.4,3.3,66.90,9.02,13.36,10.72,11.526917,169,192
6075030900,Census Tract 309,2013,13.1455399,8.4507042,7.649692624,13.81551056,0,0,62.8,3.4,24.7,4.6,48.19,3.46,42.92,5.43,11.902729,213,180
6013309000,Census Tract 3090,2013,28.8343558,33.4355828,6.896694332,12.30817787,0,0,25.6,10.2,18.3,22.8,34.66,43.46,10.38,11.50,11.142181,326,141
6075031000,Census Tract 310,2013,9.8814229,17.7865613,7.649692624,13.62918098,0,0,55.7,6.7,33.1,7,55.30,3.54,27.69,13.47,11.559275,253,64
6013310000,Census Tract 3100,2013,35.3286385,38.8497653,6.979145275,12.20156249,0,0,11.2,9.1,37.6,23.3,26.87,19.59,8.97,44.57,10.762594,852,109
6075031100,Census Tract 311,2013,16.2525880,12.2153209,7.60090246,13.37545401,0,0,53.9,4.5,28.8,5.7,54.02,7.91,30.13,7.94,11.590340,966,155
6013311000,Census Tract 3110,2013,23.7583893,34.3624161,7.166265974,12.22832325,0,0,7.9,9.6,27.6,17.4,32.28,24.33,8.90,34.48,10.784545,745,114
6075031201,Census Tract 312.01,2013,32.8125000,30.8593750,7.437206367,13.35172754,0,0,26.7,9.6,48.6,12.3,20.15,8.70,59.78,11.37,11.176487,512,61
6075031202,Census Tract 312.02,2013,34.7670251,31.8996416,7.480428306,13.3164488,0,0,24.3,10,49.7,16.5,16.02,15.55,54.45,13.99,11.189658,279,19
6013312000,Census Tract 3120,2013,26.3691684,26.1663286,6.701960366,11.99843328,0,0,10.8,8.1,24.7,33.3,41.84,39.71,6.86,11.58,10.263676,493,82
6075031301,Census Tract 313.01,2013,9.5108696,49.7282609,7.487733761,13.35616988,0,0,36.2,6.3,38.5,13.8,25.79,15.44,44.23,14.54,11.189243,368,63
6075031302,Census Tract 313.02,2013,10.9375000,45.8333333,7.527793988,13.22780389,0,0,37.6,9.1,42.7,19.2,22.64,16.91,46.40,14.05,11.171435,576,71
6013313101,Census Tract 3131.01,2013,27.1703115,24.1882041,7.095893221,12.12105927,0,0,20.7,6.9,32.8,22.1,37.04,19.58,16.03,27.34,10.664363,1509,154
6013313102,Census Tract 3131.02,2013,25.1865672,36.1940299,7.296413269,12.30047332,0,0,21.7,4.8,28.7,6.4,46.20,28.01,9.64,16.15,11.047233,536,141
6013313103,Census Tract 3131.03,2013,21.5805471,20.9726444,7.23489842,12.58792789,0,0,20.8,6.5,24.9,7.7,42.27,18.67,16.93,22.14,11.296596,987,77
6013313203,Census Tract 3132.03,2013,27.6264591,38.1322957,7.430707083,12.33622333,0,0,12.9,6.1,31.6,10.9,48.36,6.07,17.74,27.83,11.021363,257,24
6013313204,Census Tract 3132.04,2013,38.0466472,30.7580175,7.010311867,12.48370438,0,0,19,8.5,28,13.9,39.21,12.69,12.16,35.94,10.984309,686,86
6013313205,Census Tract 3132.05,2013,35.5932203,38.9830508,7.446001498,12.24913213,0,0,17.3,5,36.9,8.1,47.32,3.22,25.88,23.58,11.337560,59,0
6013313206,Census Tract 3132.06,2013,25.7853403,19.3717277,7.230563153,12.0917835,0,0,5.1,5.9,37.8,27.9,48.08,25.10,3.99,22.84,10.964536,764,107
6075031400,Census Tract 314,2013,33.5388409,28.7299630,7.016609684,13.15753745,0,0,22.4,6.7,54.4,16.6,37.78,10.75,39.97,11.50,10.911610,811,108
