2014,6075011000,Census Tract 110,2014,16.7191011,11.6404494,7.320526962,13.41069524,1.93258427,2.056432329,62.85289747,4.6,35.20648689,51.27,11.450326
2015,6075011000,Census Tract 110,2015,14.87873134,12.5,7.381501895,13.44950652,2.378731343,2.650727651,67.31643925,1.4,33.09734513,52.45,11.599929
2016,6075011000,Census Tract 110,2013,31.5,12.5,7.376508126,13.64353529,24.39862543,33.6492891,65.8,2.9,43.7,47.4,11.65355659
2013,6075011100,Census Tract 111,2013,21.3817059,17.3292165,7.163172391,13.5316877,0,0,54.5,2.9,38.6,51.14,11.03334
2014,6075011100,Census Tract 111,2014,21.480351,20.869897,7.264030143,13.59124137,2.174742465,2.410147992,57.55232029,2.2,35.62426152,42.12,11.056367
2015,6075011100,Census Tract 111,2015,15.82733813,20.4468005,7.26961675,13.54146837,3.672851193,4.131175468,58.85476795,3.1,32.71255061,36.44,11.191342
2016,6075011100,Census Tract 111,2013,36.1,20.4468005,7.257707677,13.70703408,15.8045977,17.91530945,61.3,3.1,39.4,38.4,11.34382019
2013,6075011200,Census Tract 112,2013,20.7075065,15.875755,7.295056416,13.81551056,0,0,60.1,2.7,31,44,11.24784
2014,6075011200,Census Tract 112,2014,21.3826367,18.4083601,7.297091005,13.81551056,2.652733119,5.427631579,63.67746797,3.4,31.70890188,45.22,11.172855
2015,6075011200,Census Tract 112,2015,24.74469756,19.0102121,7.31521839,14.03705283,3.61351139,6.157965194,67.56183746,3.9,33.03870771,43.77,11.273271
2016,6075011200,Census Tract 112,2013,40.1,19.0102121,7.387090236,14.07487031,8.041958042,8.932038835,73.5,4.6,30.4,40.3,11.5143145
2013,6075011300,Census Tract 113,2013,29.5131086,20.8988764,6.483107351,13.49860563,0,0,23.1,6,66.9,82.68,10.054533
2014,6075011300,Census Tract 113,2014,34.1010401,21.7682021,6.656726524,13.71015004,1.337295691,1.443464314,26.42444261,1,59.74493133,80.02,10.162153
2015,6075011300,Census Tract 113,2015,29.26646707,24.0269461,6.591673732,13.71955017,1.047904192,1.146601147,26.89328744,1.1,59.3067591,80.31,10.117833
2016,6075011300,Census Tract 113,2013,55.8,24.0269461,6.81014245,13.78122962,12.87878788,16.03773585,28.8,1.3,68.6,78.6,10.10340342
