GEOID,Census_Tract,year,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_non_white,log_MHI
6075011300,Census Tract 113,2015,29.26646707,24.0269461,6.591673732,13.71955017,1.047904192,1.146601147,26.89328744,1.1,59.3067591,80.31,10.117833
6041113000,Census Tract 1130,2015,31.66666667,16.6666667,7.301147806,13.42009479,0,0,64.60848568,5.3,8.227677367,7.47,11.321038
6041114100,Census Tract 1141,2015,20.17804154,33.9762611,7.655390645,13.49447851,0,0,64.78314746,3,6.166891501,5.2,11.542135
6041114200,Census Tract 1142,2015,19.96557659,17.555938,7.239932591,13.44008957,0,0,53.21217244,4.6,13.82241814,10.04,11.282405
6041115000,Census Tract 1150,2015,16.80440771,31.1294766,7.443078374,13.68710884,0,0,68.8376561,7.7,11.4571899,12.69,11.73235
6041116000,Census Tract 1160,2015,22.6044226,29.4840295,7.469083885,13.67808588,0,0,67.36363636,6.6,6.12244898,10.04,11.451518
6075011700,Census Tract 117,2015,19.46992864,28.5423038,6.841615476,13.93329359,6.931702345,9.115281501,38.23316437,9.9,47.40061162,62.75,10.460643
6041117000,Census Tract 1170,2015,27.27272727,24.6969697,7.293697721,13.7844326,0,0,66.61841343,5.9,8.422631805,9.82,11.463252
6075011800,Census Tract 118,2015,27.68115942,25.5072464,6.393590754,13.2048646,1.739130435,1.846153846,18.81342701,9.5,79.0998767,89.33,9.927106
6041118100,Census Tract 1181,2015,19.73684211,3.9473684,7.781973234,14.50865774,0,0,81.7232376,7,11.37543253,7.74,12.187939
6075011901,Census Tract 119.01,2015,27.91304348,13.7391304,7.344072851,13.35045467,2.086956522,2.600216685,68.62544711,7.6,29.01210465,41.47,11.001783
6075011902,Census Tract 119.02,2015,24.65437788,16.6474654,7.277938573,13.09704557,2.073732719,2.226345083,58.61064892,3.3,39.94974874,44.36,11.102729
6041119100,Census Tract 1191,2015,18.57923497,17.8506375,7.301822342,14.40296383,0,0,78.08641975,5.2,10.87958325,6.21,11.980695
6041119201,Census Tract 1192.01,2015,26.99859748,25.5259467,7.469083885,13.27919617,0,0,54.14244186,3.5,23.13564298,21.52,11.198023
6041119202,Census Tract 1192.02,2015,7.53424658,22.6027397,8.120886021,14.00753489,0,0,75.08250825,3.6,16.75257732,7.93,12.025749
6075012000,Census Tract 120,2015,20.80670927,27.0766773,7.059617628,14.11960717,1.397763578,1.51384083,40.13668841,5.6,44.12076271,51.99,10.56952
6041120000,Census Tract 1200,2015,29.40239044,21.1155378,7.477038472,13.06218865,0,0,68.59236905,6.1,15.05000794,11.65,11.530628
6075012100,Census Tract 121,2015,30.17199017,22.1130221,7.237059026,13.88457009,3.341523342,3.58649789,53.16901408,6.5,35.28819532,41.13,10.852749
6041121100,Census Tract 1211,2015,18.61360719,27.8562259,7.496097345,13.73332389,0,0,60.82862524,3.7,15.24378493,16.84,11.723462
6041121200,Census Tract 1212,2015,18.8850967,27.5312856,7.642044403,12.87159166,0,0,64.98455201,7.3,14.95711835,20.21,11.375489
6075012201,Census Tract 122.01,2015,19.53208082,29.8830202,7.163172391,13.82793308,1.630627437,1.699298116,39.85507246,6.5,41.11455108,56.68,10.637705
6075012202,Census Tract 122.02,2015,15.19949335,35.9721343,6.909753282,13.2048646,0.82330589,0.877192982,42.26729446,11.8,39.66616085,52.69,10.30548
6041122000,Census Tract 1220,2015,#DIV/0!,#DIV/0!,7.544332108,13.2048646,#DIV/0!,#DIV/0!,#DIV/0!,-,8.579970105,82.81,#VALUE!
6075012301,Census Tract 123.01,2015,27.42060418,34.1595662,6.478509642,13.2048646,2.091402014,2.839116719,23.58974359,5,49.8496994,50.4,9.540291
6075012302,Census Tract 123.02,2015,21.93620593,27.0285395,7.149131599,14.50865774,2.070509233,2.775693923,56.16246499,7.2,41.32901135,54.94,10.439659
6041123000,Census Tract 1230,2015,18.66028708,29.6650718,7.743269701,13.2048646,0,0,80.89005236,4.5,14.17125689,9.91,12.040874
6075012401,Census Tract 124.01,2015,24.72527473,42.8571429,6.759255271,12.83707843,0.510204082,0.636007828,21.67352538,9.1,49.09128891,51.81,9.919951
6075012402,Census Tract 124.02,2015,24.14634146,33.2195122,6.949856455,14.33263629,1.512195122,1.662198391,48.0587618,5.3,34.88888889,55.67,10.554066
6041124100,Census Tract 1241,2015,25.20920502,19.1422594,7.398786275,14.25072862,0,0,69.1316671,7.6,14.4611437,14.09,11.695247
6041124200,Census Tract 1242,2015,19.23601637,14.5975443,7.846980982,13.2048646,0,0,71.63260822,4.9,23.91304348,7.13,11.782051
6075012501,Census Tract 125.01,2015,40.88221919,30.7867212,6.318968114,13.96444767,0.636653024,0.759631036,21.33503673,7.1,49.40987124,65.05,9.735187
6075012502,Census Tract 125.02,2015,29.42507922,18.0172024,6.021023349,14.21843912,0.226346763,0.233535731,10.91740497,14.1,51.59717142,72.74,9.386392
6041125000,Census Tract 1250,2015,14.27328111,32.7241079,7.292337176,14.29496935,0,0,73.48152786,6.5,16.97247706,24.18,11.344921
6075012601,Census Tract 126.01,2015,13.68584759,14.9300156,7.502738211,14.11227625,1.866251944,2.207911684,83.55640535,5.8,16.19537275,14.05,11.531502
6075012602,Census Tract 126.02,2015,14.082397,13.8576779,7.646831391,13.59934262,2.771535581,3.047775947,82.90879211,4.8,15.59633028,14.03,11.765628
6041126100,Census Tract 1261,2015,22.76559865,11.1298482,7.709308333,14.25524826,0,0,82.42780225,2.6,11.01522843,9.97,12.004568
6041126200,Census Tract 1262,2015,23.30210773,26.6978923,7.402451521,14.02065306,0,0,66.43771464,1.8,16.45483432,12.71,11.408875
6075012700,Census Tract 127,2015,8.48375451,20.2166065,7.594884387,13.95588101,2.767749699,3.148528405,76.28544718,6,17.04787234,19.31,11.587003
6041127000,Census Tract 1270,2015,19.15285451,22.2836096,7.504942068,13.75203814,0,0,76.50240385,3.7,13.5524055,8.35,11.927469
6075012800,Census Tract 128,2015,10.47675103,15.6562684,7.609862201,13.86248956,2.766333137,3.225806452,78.74207704,4.6,21.33385335,17.02,11.742115
6041128100,Census Tract 1281,2015,31.74825175,18.1818182,7.754910272,13.73949307,0,0,69.44560233,7.8,15.198035,17.13,11.848926
6041128200,Census Tract 1282,2015,23.17596567,19.527897,7.546974118,14.1722055,0,0,77.92326431,5.9,9.250328803,12.71,11.781899
6075012901,Census Tract 129.01,2015,8.67579909,11.5981735,7.493317249,12.84792653,2.100456621,2.646720368,86.30775752,3,14.37959026,18.75,11.728488
6075012902,Census Tract 129.02,2015,12.19035202,15.1238592,7.455876687,13.96151385,3.455019557,3.764204545,81.15892918,2.6,17.95306757,22.17,11.550318
6041129000,Census Tract 1290,2015,25.05938242,43.3491686,7.178545484,14.21770365,0,0,27.28883639,15.5,27.05971277,68.82,10.535211
6075013000,Census Tract 130,2015,11.85458377,10.5374078,7.630461262,13.61461762,3.371970495,3.603603604,82.43718593,6.8,12.21357544,15.65,11.890478
6041130201,Census Tract 1302.01,2015,24.49414271,19.5953142,7.668561108,13.63960835,0,0,68.69931885,4.5,10.37606368,5.05,11.788821
6041130202,Census Tract 1302.02,2015,26.13268608,22.9773463,7.555905094,14.03504761,0,0,74.99309964,6.7,14.10727406,12.17,11.637123
6075013101,Census Tract 131.01,2015,22.657412,12.5929598,7.687080156,14.0070396,2.082300446,2.231668438,87.79019776,3.5,19.74944731,28.47,11.728384
6075013102,Census Tract 131.02,2015,12.85714286,23.5338346,7.638679824,14.50865774,2.556390977,2.741935484,79.59422552,1.5,17.78250089,15.48,11.535987
6041131100,Census Tract 1311,2015,20.27027027,4.0540541,7.487733761,13.81440995,0,0,62.08133971,0.8,7.70609319,12.99,11.708188
6075013200,Census Tract 132,2015,18.51032448,8.6283186,7.754481547,13.59461448,2.876106195,3.445229682,87.06811451,4.5,15.38782319,17.18,11.847031
6041132100,Census Tract 1321,2015,25.77319588,39.862543,7.524021415,14.50865774,0,0,66.1907852,6,13.15380632,11.5,11.339024
6041132200,Census Tract 1322,2015,28.40909091,30.9090909,7.070724107,13.84671849,0,0,47.68786127,3.1,11.77207264,11.02,10.8614
6075013300,Census Tract 133,2015,23.69477912,14.0562249,7.594381243,14.23901203,1.807228916,2.171290712,77.86985881,6.1,16.87791861,23.59,11.806729
6041133000,Census Tract 1330,2015,22.6443769,29.0273556,7.094234846,14.2827604,0,0,38.95652174,3.7,16.09589041,18.18,10.8072
6075013400,Census Tract 134,2015,21.55353394,18.3344997,7.634820678,13.33602209,3.009097271,3.32046332,77.03774183,3.3,14.87829111,16.39,11.739336
6075013500,Census Tract 135,2015,20.04590666,8.2631982,7.419380583,13.77874283,2.218821729,2.756653992,79.47483589,3.8,17.51937984,26.01,11.599864
6075015100,Census Tract 151,2015,15.63318777,26.6375546,7.533158807,13.80949249,3.668122271,5.230386052,74.53540934,3.5,36.55172414,40,11.317579
6075015200,Census Tract 152,2015,19.15343915,13.7566138,7.366445148,13.78401989,2.433862434,2.636103152,68.27004219,6.7,20.53488372,32.65,11.421523
6075015300,Census Tract 153,2015,19.60486322,21.1246201,7.601402335,13.26334197,6.23100304,7.243816254,74.85065711,2.4,16.67445119,29.61,11.518739
6075015400,Census Tract 154,2015,18.359375,17.1875,7.556427969,13.87359077,2.44140625,2.7100271,71.01327154,8.1,22.35197368,36.15,11.63046
6075015500,Census Tract 155,2015,21.13169755,26.5898848,7.313220387,13.77583374,1.452178267,1.635645798,55.84182145,5.1,37.54472887,41.73,11.057582
6075015600,Census Tract 156,2015,17.11956522,23.1884058,7.368970402,13.45754907,2.626811594,2.91750503,68.33761782,6.2,32.80168522,44.24,11.353379
6075015700,Census Tract 157,2015,24.71383975,22.1644121,7.522940918,13.53473789,4.214360042,4.631217839,69.66805804,11.2,16.51791027,43.41,11.389265
6075015801,Census Tract 158.01,2015,22.43436754,9.1487669,6.959398512,13.07107008,4.057279236,4.336734694,55.04495504,12.8,24.46835126,59.29,11.175198
6075015802,Census Tract 158.02,2015,20.91757387,14.9300156,7.21964204,13.2610813,4.276827372,4.919499106,73.11390533,9.7,18.53294385,32.91,11.305286
6075015900,Census Tract 159,2015,15.95935445,27.8541542,7.38832786,13.41084513,1.494321578,1.810282404,59.08346972,4.4,40.61810155,59.48,10.695507
6075016000,Census Tract 160,2015,24.69982847,19.4682676,6.996681488,13.42350447,1.715265866,2.232142857,65.61499771,4.9,43.46123727,47.69,10.941252
6075016100,Census Tract 161,2015,21.62379421,20.4983923,6.64509097,13.58483874,1.205787781,1.303780965,35.84040358,10.1,39.29222911,75.61,10.034209
6075016200,Census Tract 162,2015,28.15665091,18.0283592,7.25488481,13.63242871,4.52397029,5.026256564,68.40350146,3,21.58799854,30.52,11.154463
6075016300,Census Tract 163,2015,20.98609355,16.0556258,7.374001859,13.65404989,4.17193426,4.710920771,59.21773792,3.3,28.37983993,44.32,11.372974
6075016400,Census Tract 164,2015,18.19346573,15.9513133,7.469654173,13.93755118,6.213965407,6.373193167,66.49014416,4.4,18.04273919,27.42,11.368316
6075016500,Census Tract 165,2015,20.28904947,14.9527515,7.331060305,13.81230543,3.557531962,3.712296984,64.48170732,5.7,23.1779958,30.33,11.3173
6075016600,Census Tract 166,2015,19.53246753,12,7.524021415,13.55893948,0,0,71.58655891,5.4,14.75859546,23.52,11.549739
6075016700,Census Tract 167,2015,19.09638554,11.0240964,7.506042179,13.37917379,0,0,81.65938865,5.3,15.60609222,16,11.781922
6075016801,Census Tract 168.01,2015,16.67907669,20.3276247,7.422373701,13.72383377,0,0,69.91441738,6.9,13.82799325,32.24,11.458036
6075016802,Census Tract 168.02,2015,18.78930818,18.1603774,7.189167738,13.91914959,0,0,67.9675425,6,14.74593158,37,11.245869
6075016900,Census Tract 169,2015,18.01652893,13.8016529,7.389563954,14.10862783,0,0,74.74972191,6.8,16.50485437,21.59,11.526542
6075017000,Census Tract 170,2015,17.43810549,18.0839612,7.641084249,14.01869627,0,0,80.94410657,3.9,22.45751634,19.16,11.766955
6075017101,Census Tract 171.01,2015,14.02597403,9.1774892,7.546974118,13.21055739,0,0,78.21878025,3.5,13.55478168,16.21,11.748717
6075017102,Census Tract 171.02,2015,20.3301477,19.5482189,7.660585462,13.54396427,0,0,85.7238831,5.9,12.00850159,20.38,11.70767
6075017601,Census Tract 176.01,2015,20.59303591,31.6920566,6.710523109,13.42542655,4.189336235,6.162464986,36.55183836,4.6,41.84239734,67.09,10.075633
6075017700,Census Tract 177,2015,17.8125,13.125,7.346655163,13.38087407,0,0,47.90378007,9.4,37.37946682,47.87,11.273551
6075017801,Census Tract 178.01,2015,24.9726776,7.0491803,5.673323267,13.2048646,1.366120219,1.593371574,39.20265781,6.7,68.21829856,71.91,9.731334
6075017802,Census Tract 178.02,2015,32.03309693,19.7990544,7.10824414,13.5893625,0,0,46.32505176,7.3,33.28927076,55.56,11.157064
6075017902,Census Tract 179.02,2015,23.55769231,26.6025641,7.457032089,13.41950061,0.16025641,0.226244344,41.01492537,13.3,27.51804205,62.63,10.615677
6075018000,Census Tract 180,2015,15.36351166,22.085048,7.777373603,13.56820238,0,0,59.78123685,7.8,24.07923244,52.74,11.89592
6075020100,Census Tract 201,2015,25.94033722,29.9178556,6.7310181,13.62580178,0,0,35.8974359,11.3,41.00576784,53.6,10.517348
6075020200,Census Tract 202,2015,20.06160955,10.8971891,7.201170883,13.75448586,0,0,63.02816901,9.8,24.40506329,36.49,11.10871
6075020300,Census Tract 203,2015,13.53746978,13.2151491,7.401841579,13.65510704,0,0,75.45941807,4.3,22.11221122,27.49,11.533404
6075020401,Census Tract 204.01,2015,17.53246753,15.7142857,7.647786045,13.94610013,0,0,73.87096774,2.7,18.44536477,22.49,11.845533
6075020402,Census Tract 204.02,2015,18.78425511,21.0264076,7.495541944,13.96866074,0,0,64.32050658,2.2,24.69933185,24.86,11.373112
6075020500,Census Tract 205,2015,18.25581395,15.8139535,7.481555702,13.80404508,0,0,71.07718405,3.1,18.00584368,16.29,11.661345
6075020600,Census Tract 206,2015,12.75343362,14.4538914,7.510977752,13.45080344,0,0,75.66213314,4,16.52006007,18.37,11.803728
6075020700,Census Tract 207,2015,18.51674641,10.7655502,7.53796266,13.47751716,0,0,80.58084092,4.1,22.99657843,29.77,11.758206
6075020800,Census Tract 208,2015,17.56336149,24.8554913,7.080867897,13.73321532,0,0,46.71342685,7.2,42.24055855,45.1,11.116841
6075020900,Census Tract 209,2015,25.61983471,18.7539733,7.084226422,14.03865411,0,0,42.3846359,6.1,39.69417679,39.25,10.821337
6075021000,Census Tract 210,2015,22.95578437,18.3525136,7.40367029,13.99574661,0,0,72.24736048,4.1,18.40490798,27.94,11.475535
6075021100,Census Tract 211,2015,10.12416428,16.8099331,7.716906135,13.91290946,0,0,78.34087481,7.5,22.13855422,20.88,11.680311
6075021200,Census Tract 212,2015,17.79141104,12.5766871,7.661527081,13.91734486,0,0,86.71507903,3.7,16.09961417,18.59,11.777334
6075021300,Census Tract 213,2015,17.74193548,6.25,7.488852956,13.77019934,0,0,82.56532067,2.1,16.57271702,22.74,12.050494
6075021400,Census Tract 214,2015,10.98191214,13.4366925,7.833600224,13.68323552,0,0,82.38047476,6.3,18.66378144,20.37,11.866297
6075021500,Census Tract 215,2015,17.32501733,9.4941095,7.41517511,13.8047529,0,0,73.79022922,4.2,19.74522293,17.54,11.612771
6075021600,Census Tract 216,2015,28.00495663,14.2503098,7.697121317,13.80949249,0,0,74.46033081,5.7,22.61660978,41.25,11.657026
6075021700,Census Tract 217,2015,29.80769231,21.6346154,7.178545484,13.64661842,0,0,66.50717703,6.1,21.76100629,41.06,11.536945
