Tract_No,Composite_Score_AIRBNB,Bachelors Deg or Higher(for 25-64),Foreign Born_All,Median Gross Rent,Median House Price,Percentage Unemployed,Median household income (dollars),HH Below Poverty Levels,Percentage Rent-burdened,Percentage Rent-overburdened,BART_Distances
Census Tract 3521.01,1.5,75.7,14.5,2236,1103100,1.5,160729,1.9,7.2,2.6,0.123315943
Census Tract 4100,3.5,49.6,6.7,1656,552300,4.2,107596,0,2.1,0.8,0.123315943
Census Tract 4079,10.5,52.5,20.1,1996,484700,5.7,99107,1.1,12.2,7.4,0.123315943
Census Tract 4511.01,3.5,48.9,18.8,2241,651500,5.1,135375,2.7,20.9,12.8,0.123315943
Census Tract 4328,1,44.4,20.6,1240,639300,4.4,88125,1.4,9.8,1.5,0.123315943
Census Tract 4512.02,2.5,35.9,14.9,2139,479200,6.1,106914,3.7,6.3,4.2,0.123315943
Census Tract 4015,24,31,16.4,997,341800,6.9,48490,15.9,35.6,18.9,0.123315943
Census Tract 4030,57,24.6,68.8,517,344700,5.8,17609,14.3,57,34.7,0.525728169
Census Tract 1060.01,47,49.9,15.8,2102,279100,2.3,57700,2.9,66.4,37.5,1.500995081
Census Tract 4040,110.5,69.3,22.2,1246,397600,5.5,72870,1.4,33.8,12.4,0.814079066
Census Tract 4353,3.5,29.4,26.7,1283,392400,9.8,62931,18.9,54.3,27.4,0.438856649
Census Tract 4045.02,7.5,78.5,14.3,2210,736900,2.7,119688,0.8,15.9,5.4,0.632664764
Census Tract 4215,94,81.4,12,2026,908000,2.7,138929,1.1,5.4,0.9,0.327348745
Census Tract 4514.01,2.5,42.6,17.5,1543,571800,3.5,87865,5.8,50.5,21.2,3.094167873
Census Tract 1101,28,53.1,16.6,1341,834200,1.7,104375,0,42.9,21.5,2.676207276
Census Tract 1330,115,39,16.2,1205,1031700,2.2,49375,7.9,34,19.1,1.681611451
Census Tract 1200,40,68.6,15.1,1767,1355400,4.2,101786,0,63.4,26.5,1.642342083
Census Tract 1242,22.5,71.1,23.9,2558,1545300,2.8,130882,3.3,24.8,10.7,0.679345326
Census Tract 1142,126,53.3,13.8,1394,687000,3.2,79412,0.9,21.8,10.2,1.801206771
Census Tract 1281,89,69.4,15.4,2333,938500,5.6,139934,2.9,35.7,13,1.13437656
Census Tract 1212,20.5,60.9,15.1,2084,921100,4.6,87159,5.7,40.8,24.2,0.877495701
Census Tract 1262,158,65.7,16.5,1640,805600,1.1,90118,4.1,42.7,22.8,0.694213672
Census Tract 1102,10.5,69.8,17.6,3392,965000,1.9,148182,2.4,9.3,4.7,0.21403699
Census Tract 1041.01,17,47.5,21.8,1853,609800,4.8,93750,7.3,50.2,29.3,0.962656763
Census Tract 1130,50,64.6,8.3,1482,673400,3.8,82540,1.1,23.2,8,1.794456509
Census Tract 4351.02,0.5,57.7,30.7,1748,547100,4.7,115123,2.6,13.4,11.1,1.794456509
Census Tract 4365,1.5,30.5,40.3,1337,359200,9.3,51875,15.1,70,39.8,1.794456509
Census Tract 1031,16.5,49.6,6.5,2103,676800,1.6,106617,4.6,9.3,3.3,1.702284619
Census Tract 1043,14.5,45.5,15.4,3045,776500,6.4,92188,2.4,4.5,2.7,0.538566201
Census Tract 1070,3.5,59.2,15.9,2455,777400,3.4,117692,1.7,15.7,4.3,0.301245635
Census Tract 1181,3,81.7,11.4,2397,NA,4.2,196406,3.2,1.8,0.3,0.501176114
Census Tract 1322,20.5,47.7,11.9,1177,801800,1.9,52125,11.4,26.1,13.6,1.383143334
Census Tract 1042,0.5,52.3,22.9,1942,611300,2.7,79107,7.1,61.4,27.2,1.794456509
Census Tract 1082,56,50.8,26.3,1342,664800,1.5,78194,3,58.7,28.2,1.36748079
Census Tract 1032,10,46.6,14.8,1646,588600,3.2,73864,4.9,57.9,37,1.088768088
Census Tract 1011,9,60.9,9,2328,817600,4.5,134766,1.6,7.3,2.8,0.437221254
Census Tract 1050,6.5,46,17.1,1479,370500,5.9,65052,7.8,61.9,38.3,1.553648047
Census Tract 1211,30,60.8,15.4,1801,1071500,2.6,123434,2.5,36.2,21.7,2.018499533
Census Tract 1282,105.5,77.9,9.3,1895,1048100,4.2,130862,1,19.9,9.1,1.875925811
Census Tract 1321,72.5,66.2,13.2,1852,998900,4.2,84038,9.1,19.1,11.6,1.378483994
Census Tract 1060.02,39,42.3,26.1,1727,549400,2.9,85839,6.3,21.2,10.7,1.231339
Census Tract 6068,35,66.3,30.1,1700,1109000,4.6,123649,1.7,12.8,3.6,2.245362976
Census Tract 6062,120.5,21,49,1676,553100,3,63093,6.6,103.8,37.2,2.365299122
Census Tract 6064,40.5,55.7,27.8,1783,932700,3.2,83016,5.1,80.4,49.5,1.134954972
Census Tract 6001,7,43.9,23.5,1684,633000,5.3,87797,4.5,42.5,18.4,1.974712798
Census Tract 6011,9.5,32.5,51.1,2217,622300,5.8,88036,4.6,19.6,1.8,1.766089059
Census Tract 6071,133,55.6,17.9,2306,980900,2.1,120385,1.2,4,3.5,1.897018178
Census Tract 3031.03,1.5,22.7,17.4,1722,325800,6.2,82679,5.7,73.7,33.1,3.586629928
Census Tract 6078,106.5,28.1,32.3,2778,668000,2.8,105789,3.2,7.2,5.2,3.008759371
Census Tract 6080.23,33.5,60.3,43.8,3310,1085800,5.5,134500,3.2,4.6,2.1,3.496163033
Census Tract 3511.01,0.5,58.8,19.3,1030,361100,2.7,44125,0,7.9,1.9,4.05157784
Census Tract 4507.45,1,67.2,40.6,1713,719400,2.1,163850,0.3,28.8,15.2,3.326910375
Census Tract 4287,2.5,45.6,25.2,1071,806000,7.2,50577,11.4,30,14,2.60224291
Census Tract 4351.03,0.5,62.5,34.5,2430,728000,1.6,155052,3.7,7.4,2.4,2.22267801
Census Tract 313.01,56,36.6,41.7,1450,660500,6,95449,4,17.1,7.2,3.50847781
Census Tract 3032.03,0.5,39.2,10.1,2103,466400,2.5,107663,6.5,35.4,22.2,2.439915894
Census Tract 3132.06,4,9.2,39.5,1366,199500,7.5,56469,24.6,42.2,26.3,2.763144454
Census Tract 3800,5.5,47.3,27.2,1417,353400,6.4,74516,10.7,60.9,23.9,4.609977017
Census Tract 601,2,85.8,12.8,2963,NA,1.1,164179,3.6,38.6,11.5,6.166553062
Census Tract 3591.03,0.5,31,23.3,1127,349600,3.7,66307,7.4,36.8,16.4,6.166553062
Census Tract 3770,15,8.1,41,963,112700,8.5,32172,20.7,85,49.7,6.226262728
Census Tract 3500,1,72.3,11.4,1716,957800,3.9,102159,1.3,53.3,34.9,6.873513161
Census Tract 3160,1.5,21.9,6.2,951,325900,7,37321,12.2,18.8,8.9,6.42258668
