GEOID,Census_Tract,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,Composite_Score,log_BART_dist,log_CBD_dist,coastal_tracts_dummy,percent_bachelors_degree,unemployment_rate,percent_foreign_born,percent_non_white,log_MHI,School_district_quality,job_acc_auto,job_acc_transit
6013322000,Census Tract 3220,3.877431561,3.609970991,7.729295674,13.30335071,1.171182982,0,4.1562434,5.8600139,0,3.992680908,2.282382386,2.653241965,3.122364924,11.47578419,2.079441542,11.8724113,7.928348367
6013323000,Census Tract 3230,3.61361697,2.967917587,7.582229194,13.20982465,1.272965676,-0.693147181,3.8030935,5.8549985,0,4.025351691,2.388762789,2.424802726,2.815408719,11.52324207,0,11.9812627,8.810201554
6013324001,Census Tract 3240.01,3.676300672,3.191608697,7.277247727,13.05536851,1.448169765,0,2.8443691,5.9085703,0,4.062165664,0.993251773,0,3.499533282,11.36036851,0,12.08708704,9.514155848
6013324002,Census Tract 3240.02,3.580737295,2.802715428,7.363913501,13.0704383,0,0,3.6471218,5.9075083,0,3.841600541,1.360976553,0,3.377587516,11.38897092,0,12.11846865,9.049320319
6013325000,Census Tract 3250,4.220977213,3.341683255,7.289610521,13.32840146,0.967584026,-0.693147181,3.4592993,5.8235013,0,3.935739532,1.223775432,1.931521412,2.734367509,11.40627523,0,11.92523382,7.999796022
6075032601,Census Tract 326.01,3.62700405,2.132239723,7.479864131,13.67083155,3.185353133,3.36729583,4.4454181,4.579329,0,3.979681654,1.648658626,0,4.127134385,11.47058148,0,12.43549938,10.24507028
6075032602,Census Tract 326.02,3.977810746,3.390672755,7.464509835,13.67728244,2.29492222,2.995732274,4.4165088,4.6230554,0,3.854393893,1.568615918,0,4.209160237,11.29423449,2.079441542,12.34182703,10.04445616
6013326000,Census Tract 3260,3.935739532,3.480355526,7.574045005,13.48366759,0,0,3.9945979,5.7613531,0,4.037774211,1.481604541,2.251291799,2.708050201,11.65132996,0,11.92780397,0
6075032700,Census Tract 327,3.678829118,3.068791843,7.539027056,13.71203715,2.530048305,3.624340933,4.535881,4.7409433,0,3.951243719,1.435084525,3.839452313,4.186619838,11.54875582,0,12.30601881,9.905624767
6013327000,Census Tract 3270,4.070734697,2.70063098,7.126087273,11.93426392,0,0,3.7678968,5.9937426,0,3.010620886,2.079441542,2.949688335,3.288401888,10.93697448,0.693147181,11.83182887,8.75005576
6075032801,Census Tract 328.01,3.891820298,3.432321925,7.558516743,13.65815475,2.453407983,3.17805383,4.1895747,4.6707086,0,3.819907717,1.458615023,0,4.166665224,11.28682755,2.079441542,12.37818512,10.30341603
6075032802,Census Tract 328.02,4.087655574,3.687864739,7.678326357,13.54383306,2.65037109,2.708050201,4.3074732,4.6423735,0,3.788724789,1.887069649,0,4.351567427,11.34977104,2.079441542,12.34962206,9.950859092
6013328000,Census Tract 3280,4.131961426,3.479589972,7.132497552,12.3327053,0,0,2.6749095,6.032081,0,3.605497845,2.541601993,3.314186005,3.693866996,10.26311812,1.098612289,11.98577201,9.132758218
6075032901,Census Tract 329.01,3.824284091,3.479455966,7.645397699,13.65510704,3.173066289,3.068052935,4.2804728,4.7931814,0,3.843744165,2.014903021,0,4.231203745,11.32862996,2.079441542,12.21837951,9.954149298
6075032902,Census Tract 329.02,3.594568775,3.086948284,7.527255919,13.54893745,2.599836616,2.995732274,4.4062892,4.7649552,0,3.826465117,1.974081026,0,4.300002799,11.47426779,2.079441542,12.24858211,9.720670473
6013329000,Census Tract 3290,3.998200702,3.738930254,7.29301768,12.74955905,0.400477566,0,3.0007582,6.0772432,0,3.238678452,1.722766598,2.954910279,3.198673118,11.31305889,0.693147181,11.96128721,8.879633881
6075033000,Census Tract 330,4.005513349,3.263480132,7.649692624,13.70066072,2.496401029,3.17805383,4.0498606,4.7789093,0,3.839452313,1.547562509,3.770459441,4.053522568,11.33733322,2.302585093,12.23345163,9.901782099
6013330000,Census Tract 3300,4.037774211,3.130945753,7.493317249,12.83361407,0.45413028,0,3.1513694,6.0928371,0,3.295836866,2.397895273,2.76000994,3.540959324,11.19353254,0,11.7776678,7.374008133
6075033100,Census Tract 331,3.987130478,3.307429222,8.02975852,13.80818378,2.144361088,2.079441542,3.9263398,4.8508138,0,4.154184563,2.379546134,3.46885603,4.053522568,11.59005316,2.302585093,12.33055099,9.858755319
6013331000,Census Tract 3310,4.028916757,3.424186899,7.237778192,12.91213605,1.187443502,0.693147181,3.3474636,6.1200119,0,3.517497837,2.028148247,2.839078464,3.642835516,11.1227676,0,11.69165588,7.678511439
6075033201,Census Tract 332.01,4.262679877,3.912023005,7.475339237,0,1.021651248,1.871802177,3.5856313,4.8222738,0,3.951243719,3.299533728,3.465735903,3.977810746,10.03867383,2.302585093,12.25953723,9.547966942
6075033203,Census Tract 332.03,4.104294893,3.484010522,7.669495251,0,2.568288259,2.48490665,3.061958,4.9008114,0,4.000033883,2.32238772,0,4.005513349,10.83852153,2.302585093,12.4666857,10.01296463
6075033204,Census Tract 332.04,4.041295341,3.662988041,7.523481313,0,1.990210408,1.871802177,3.3340524,4.8864256,0,4.016383021,2.785011242,0,4.077537444,10.71268293,2.302585093,12.38036179,9.741047443
6013332000,Census Tract 3320,3.832979798,2.980694394,7.259116128,12.9360338,1.660731207,0,3.9755497,6.1735041,0,3.430756184,1.974081026,2.292534757,3.148453361,11.37564993,1.386294361,11.71095638,8.026222481
6013333101,Census Tract 3331.01,4.075841091,3.73148557,7.303843225,12.97918561,0,0,4.5577662,6.2389215,0,3.148453361,1.648658626,0,3.424262655,11.30108035,0,11.50943438,7.420614833
6013333102,Census Tract 3331.02,3.342861805,1.979944331,7.297091005,13.06261337,0,0,4.5759788,6.2700268,0,3.481240089,2.00148,0,3.277144733,11.41002858,0,11.39527809,0
6013333200,Census Tract 3332,4.021773869,3.771824921,7.587310506,13.08216619,0,0,4.2694095,6.1973224,0,3.563882964,2.525728644,2.721295428,2.928523524,11.19688507,1.386294361,11.61440261,8.438881318
6013334001,Census Tract 3340.01,3.811097087,2.676132597,7.145196135,12.92586176,0,0,3.8494333,6.1379856,0,3.526360525,1.902107526,2.985681938,3.33220451,11.2974028,1.386294361,11.68022435,8.295501086
6013334004,Census Tract 3340.04,3.845883203,3.14922957,7.300472814,12.79857042,0.666829872,0.405465108,4.4723795,6.2065244,0,3.61361697,1.987874348,3.157000421,3.414442608,11.1739501,0,11.50851898,8.189469376
6013334006,Census Tract 3340.06,3.788724789,2.874035337,7.892452044,13.21530712,-0.067658649,-0.693147181,4.3261056,6.173796,0,4.02356438,1.62924054,0,3.496507561,11.70135334,0,11.6891897,8.155683723
6013334200,Census Tract 3342,3.632309103,2.872653552,7.697575347,13.74498079,0.809680997,0,4.0080107,5.8580257,0,4.213607983,1.757857918,0,2.939161922,11.88987449,0.693147181,11.90259901,7.258862753
6013335000,Census Tract 3350,3.931825633,3.407600819,7.454719949,12.94347592,0.597837001,-0.693147181,2.7417654,6.0830185,0,3.520460802,1.686398954,2.708050201,3.484312288,11.21531426,0,11.84523188,9.415587941
6013336101,Census Tract 3361.01,3.990834186,3.664724647,7.201170883,12.48937012,0,0,2.4990002,6.030356,0,3.122364924,2.282382386,3.943521672,3.78191432,10.76848499,0,11.8853806,8.418305018
6013336102,Census Tract 3361.02,4.166665224,3.341273725,7.110696123,12.2322276,-0.751416089,-0.693147181,2.9828088,6.0097691,0,3.063390922,2.261763098,3.845883203,4.014579594,10.5267218,0,11.9942508,8.936470471
6013336201,Census Tract 3362.01,3.768152635,3.274388534,7.221835825,12.64593918,2.371577964,1.098612289,3.5517227,5.9729034,0,3.077312261,2.397895273,0,3.770459441,11.00116607,0,11.92759129,8.209460781
6013336202,Census Tract 3362.02,3.992680908,3.605395845,7.045776577,12.41227348,0,0,3.614548,5.9758475,0,2.397895273,1.722766598,0,3.610917913,10.63880781,0,11.98009177,8.469466162
6013337100,Census Tract 3371,3.841600541,3.198256537,7.439559309,13.27628546,4.605170186,-0.693147181,3.5246126,6.0870396,0,3.826465117,2.028148247,2.912350665,3.33220451,11.47061278,1.098612289,11.74369651,0
6013337200,Census Tract 3372,3.871201011,3.13144925,7.265429723,12.70624169,-0.198850859,-0.693147181,3.5229772,6.0377405,0,3.446807893,2.219203484,3.025291076,3.299533728,11.11450548,1.098612289,11.80394312,7.847250688
