GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_non_white,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_burdened,rent_overburdened,rent_hourly_wage,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
6013340001,Census Tract 3400.01,3.101966309,0,5.831308451,57.2,4.6,24.4,8.7,19.6,11.30710598,7.639161172,13.57788769,118,0,48.1443299,32.68041237,9.351841,3.278688525,3.278688525
6013340002,Census Tract 3400.02,3.358204541,0,5.742468133,64.9,5.2,16.9,1.1,19.4,11.6698181,7.357556201,13.60602333,166,13,30.86956522,20.57971014,9.351841,1.19047619,1.290322581
6013341000,Census Tract 3410,3.693705132,0,5.725210553,65.7,5.3,11.3,3.7,16.3,11.54142545,7.34601021,13.55154501,85,85,38.94297636,7.788595271,9.351841,1.162790698,100
6013343001,Census Tract 3430.01,3.678834779,0,5.909245318,63.2,4.5,29.7,6.6,16.1,11.36306723,7.45760929,13.67774163,159,46,38.74439462,17.30941704,9.351841,0.625,0.877192982
6013343002,Census Tract 3430.02,3.803775342,0,5.941847157,65.4,5.2,19.2,1.1,18,11.47366475,7.328437353,13.33440554,137,33,42.10526316,14.26592798,9.351841,1.438848921,1.886792453
6013343003,Census Tract 3430.03,4.231083807,0,5.977925607,65.4,4.8,8.2,0,17.4,11.74643906,7.502738211,13.36922346,83,0,57.09570957,19.8019802,9.351841,2.352941176,2.352941176
6013345101,Census Tract 3451.01,3.998085481,0,6.198410235,50.5,4.2,29.1,3,31.7,11.58921962,7.763871288,13.40135782,70,0,41.66666667,11.66666667,9.351841,2.777777778,2.777777778
6013345103,Census Tract 3451.03,4.136292663,0,6.228937972,58.3,3.6,18.8,2.6,31.7,11.75054769,7.670428522,13.46040581,0,0,41.8879056,26.54867257,9.351841,100,100
6013345108,Census Tract 3451.08,4.827221657,0,6.142568267,72.2,2.9,31,0.8,44.5,11.67040773,7.419380583,13.67716761,160,65,49.87277354,19.46564885,9.351841,1.234567901,2.06185567
6013345115,Census Tract 3451.15,4.633663081,0,6.06618721,65.1,2.1,29.1,1.2,43.1,11.98476491,7.997999318,13.35601156,50,0,53.4562212,29.03225806,9.351841,5.660377358,5.660377358
6013345202,Census Tract 3452.02,5.078892983,0,6.009604129,68.9,5.8,24.9,1.3,37.3,11.6366729,7.6118424,14.01796149,26,13,40.66073698,20.58449809,9.351841,3.703703704,7.142857143
6013349000,Census Tract 3490,3.564408117,0,5.616246808,67,4,17,4,17.7,11.62410005,7.44775128,13.52355269,80,22,48.84910486,27.87723785,9.351841,4.761904762,6.451612903
6013350000,Census Tract 3500,3.435550724,0,5.381609781,72.3,3.9,11.4,1.3,25.4,11.5342857,7.501634458,12.79691021,21,0,45.20780322,29.60135708,27.03497,12.5,12.5
6075035100,Census Tract 351,4.55884345,0,4.852057293,52.5,3.6,46.1,4.5,61.9,11.50515536,6.937314081,12.34583459,67,0,41.14754098,12.37704918,9.351841,30.92783505,30.92783505
