Percent airbnb,Composite Score
13.42281878,62.99999998
7.407407403,8.999999997
20.00000001,3.000000001
15.61938959,145.5000001
21.42857143,1.5
4.687499999,1.5
8.771929828,7
10.53921569,65.00000001
8.387096778,17
7.575757573,9.500000004
15.93220338,72
7.006369424,8.499999996
18.42105263,8.000000003
5.737704916,8.000000003
15.09433962,14.49999999
3.249999999,24.50000001
2.867383513,7
16.60516605,55.50000001
3.862660945,10.5
18.42105263,33.50000001
6.086956524,26.5
17.80821917,15.5
18.32298138,89.00000002
100,13.49999999
5.136986302,13.49999999
29.94923857,98.49999998
10.60606061,21.99999999
23.00884955,40
24.39862543,109
21.8487395,35.49999998
6.504065039,14.49999999
15.80459769,87.00000003
30.10752688,33.50000001
8.041958041,72.50000001
25.23364487,46.50000002
4.166666668,2.000000001
23.80952382,5.499999999
12.87878789,23.5
16.875,48
28.90995262,96.49999997
11,14.49999999
35.63218391,39.5
26.47058824,32.99999998
23.45276872,121.5
19.2857143,40.5
13.04347826,7
4.807692306,5.499999999
10.62992126,44.49999999
25.62499999,66.99999997
15.78947368,21.00000001
15.87301586,15.5
11.11111111,11.5
17.94871795,72
33.33333332,52.00000002
34.43396225,123
8.474576267,32.49999999
7.307692307,26
25,56.00000001
12.61261261,26.5
1,1
2.857142856,11
5.80912863,41.00000001
0.675675676,0.5
1.754385965,12
13.14553991,37.5
4.504504504,11
3.816793892,21.00000001
1.928374656,12.5
9.333333329,11
8.653846152,13.49999999
13.10043668,55.50000001
22.43589743,58.00000003
17.01030927,51.00000001
24.13793103,42.5
16.25,69.00000003
17.91666668,72.50000001
15.38461538,77.49999997
24.40677967,105
22.17194571,84.49999997
13.40996168,54.50000002
25,70.50000001
10.81081081,8.499999996
36.78756476,123.5
3.267973856,18.5
13.19261215,86.50000001
18.67469879,38.99999999
26.2295082,51.50000002
14.63414633,18
15.15151515,65.00000001
4.25321464,72.50000001
6.488549616,59.00000001
9.729729732,30.00000001
6.545961005,75.99999998
26.37362638,81.00000003
8.928571431,44
5.52486188,32.49999999
19.44444443,48.99999999
28.68217053,65.00000001
22.81368821,86.50000001
11.46245059,34.99999998
21.9858156,45.00000001
33.71647509,136.5000001
35.71428572,56.49999999
23.98190045,80.49999997
9.034267914,32.99999998
3.914590746,17
13.02325581,36.50000002
29.18660287,97.5
24.58333332,84.99999996
64.86486488,109.5
50.65789474,109
24.70588235,110
38.33865814,176.4999999
35.71428572,100.4999999
11.13636365,81.00000003
30.80168776,104
18.25613078,108
26.86567163,79.50000003
31.35135134,93.49999997
8.900928792,162.5
39.04761907,58.00000003
7.773851592,28.49999999
25.40983607,166.9999999
8.080808085,26
27.5080906,104
16.03773585,97.00000005
26.14213198,139
35.84905658,81.00000003
26.60944205,98.49999998
37.33333335,83.50000001
47.05882355,78.00000002
24.56140351,183.4999999
39.93055555,190.5000001
47.72727274,154.4999999
44.08602153,98.00000003
52.17391305,101
32.58928571,119
31.49171272,100.4999999
25.21008402,46.50000002
25.78947369,78.50000002
39.10614524,111.5
28.96551725,62.99999998
34.057971,72.50000001
45.29914531,84.99999996
24.34782609,48.5
38.75968992,82.49999997
30.30303029,119
48.29931972,101
40.69767441,53.00000002
51.53374233,125.5000001
25.3968254,69.00000003
31.61764706,57.50000001
34.16666667,47.00000001
8.510638294,9.500000004
18.18181819,10.5
21.73913042,14.00000001
4.25531915,3.499999998
12.03703705,20.00000001
2.580645161,4.500000001
7.821229052,16
63.96396398,112
44.64285714,203.5
30.15267176,123.5
23.5576923,81.49999998
62.295082,52.00000002
42.26804123,58.00000003
80.51948051,83.50000001
17.0212766,32.99999998
19.60784313,15.5
11.34751773,24.50000001
11.11111111,4.500000001
62.50000002,19.50000001
14.45086705,29
27.27272728,22.5
21.53846154,19
27.90697674,18
40.90909091,12
13.39285715,17.5
27.58620691,12.99999999
40,12.5
9.482758624,9.500000004
18.51851851,3.499999998
15.15151515,8.499999996
1.538461538,1
8.57142857,3.000000001
25.89285715,41.99999999
19.19191919,59.50000003
0.925925926,1.5
15.30612244,22.5
43.75000001,53.50000001
1,1
1,1
1,1
2.325581395,0.5
7.894736843,1.5
1.904761906,1
17.0940171,60.5
44,12.99999999
